Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
FST	Brahui	Yakut			593124	8.2728e-2	8.2727e-2	1.0885e-3	76.0013911959649
FST	Brahui	Yoruba			593124	0.1361	0.1361	1.0170e-3	133.79304115123335
FST	Burusho	Adygei			593124	1.8566e-2	1.8566e-2	3.8156e-4	48.6573908240317
FST	Burusho	Balochi			593124	1.1779e-2	1.1779e-2	2.8019e-4	42.03862856132022
FST	Burusho	Basque			593124	3.6590e-2	3.6590e-2	5.0971e-4	71.78496261122793
FST	Burusho	BedouinA			593124	2.6446e-2	2.6446e-2	3.9544e-4	66.87716965552025
FST	Burusho	BedouinB			593124	4.8497e-2	4.8497e-2	6.2380e-4	77.74486179091585
FST	Burusho	Biaka			593124	0.1643	0.1643	1.1112e-3	147.90185636075626
FST	Burusho	Brahui			593124	1.3776e-2	1.3776e-2	3.1322e-4	43.98325716724122
FST	Burusho	Burusho			593124	0.0000	0.0000	0.0000	NaN
FST	Burusho	Druze			593124	2.8084e-2	2.8084e-2	4.4184e-4	63.56172792974672
FST	Burusho	French			593124	2.6058e-2	2.6058e-2	4.0179e-4	64.8550560769532
FST	Burusho	Han			593124	7.1242e-2	7.1241e-2	8.4759e-4	84.05138588508106
FST	Burusho	Hazara			593124	1.8598e-2	1.8598e-2	4.4170e-4	42.10534616914523
FST	Burusho	Italian_North			593124	2.6983e-2	2.6983e-2	4.9501e-4	54.51003045804307
FST	Burusho	Japanese			593124	7.3168e-2	7.3168e-2	8.0579e-4	90.80252113643202
FST	Burusho	Kalash			593124	3.3045e-2	3.3045e-2	6.3058e-4	52.403698963555414
FST	Burusho	Karitiana			593124	0.1801	0.1801	1.8983e-3	94.89563581915897
FST	Burusho	Makrani			593124	1.3689e-2	1.3689e-2	2.9018e-4	47.17326974273381
FST	Burusho	Mandenka			593124	0.1375	0.1375	9.8358e-4	139.8108958924411
FST	Burusho	Mayan			593124	0.1013	0.1013	1.4459e-3	70.04366766230481
FST	Burusho	Mozabite			593124	4.5734e-2	4.5734e-2	6.2173e-4	73.55932009523657
FST	Burusho	Orcadian			593124	2.8719e-2	2.8719e-2	5.4181e-4	53.005428557149834
FST	Burusho	Palestinian			593124	2.6467e-2	2.6467e-2	3.7624e-4	70.34665130538251
FST	Burusho	Papuan			593124	0.1632	0.1632	1.5580e-3	104.76620182015091
FST	Burusho	Pathan			593124	7.1951e-3	7.1951e-3	2.3999e-4	29.98038690989173
FST	Burusho	Pima			593124	0.1400	0.1400	1.7140e-3	81.70279847051441
FST	Burusho	Russian			593124	2.3054e-2	2.3054e-2	4.1757e-4	55.210171064485266
FST	Burusho	Sardinian			593124	4.0076e-2	4.0077e-2	5.7772e-4	69.3707308789118
FST	Burusho	Sindhi_Pakistan			593124	8.2749e-3	8.2750e-3	2.7465e-4	30.129163654311036
FST	Burusho	Yakut			593124	6.4654e-2	6.4654e-2	9.5655e-4	67.59053354185617
FST	Burusho	Yoruba			593124	0.1378	0.1378	9.1865e-4	150.0184866733824
FST	Druze	Adygei			593124	1.2173e-2	1.2173e-2	2.6659e-4	45.65975464203526
FST	Druze	Balochi			593124	1.8985e-2	1.8985e-2	3.3788e-4	56.18953054152013
FST	Druze	Basque			593124	2.1682e-2	2.1682e-2	3.6618e-4	59.210778918715704
FST	Druze	BedouinA			593124	9.5845e-3	9.5845e-3	1.8794e-4	50.997186513247435
FST	Druze	BedouinB			593124	2.6865e-2	2.6865e-2	4.8902e-4	54.936908926707666
FST	Druze	Biaka			593124	0.1684	0.1684	1.2106e-3	139.0809774249103
FST	Druze	Brahui			593124	2.0798e-2	2.0798e-2	3.9256e-4	52.9800526757539
FST	Druze	Burusho			593124	2.8084e-2	2.8084e-2	4.4184e-4	63.56172792974672
FST	Druze	Druze			593124	0.0000	0.0000	0.0000	NaN
FST	Druze	French			593124	1.3973e-2	1.3973e-2	2.4794e-4	56.355563352881084
FST	Druze	Han			593124	0.1112	0.1112	1.1025e-3	100.82723753775423
FST	Druze	Hazara			593124	4.1333e-2	4.1333e-2	6.9643e-4	59.34955909138484
FST	Druze	Italian_North			593124	1.0688e-2	1.0688e-2	2.3833e-4	44.846192903566
FST	Druze	Japanese			593124	0.1134	0.1134	1.0517e-3	107.83957473169755
FST	Druze	Kalash			593124	4.6906e-2	4.6906e-2	6.9952e-4	67.05447760044937
FST	Druze	Karitiana			593124	0.2148	0.2148	1.8787e-3	114.3444510345686
FST	Druze	Makrani			593124	1.8362e-2	1.8361e-2	3.4227e-4	53.6455843529754
FST	Druze	Mandenka			593124	0.1403	0.1403	1.0769e-3	130.25839555658328
FST	Druze	Mayan			593124	0.1339	0.1339	1.6293e-3	82.1611951842924
FST	Druze	Mozabite			593124	2.8872e-2	2.8872e-2	4.8969e-4	58.95924967942577
FST	Druze	Orcadian			593124	1.9671e-2	1.9671e-2	4.0253e-4	48.86708659188644
FST	Druze	Palestinian			593124	9.2024e-3	9.2025e-3	1.8913e-4	48.65782734585995
FST	Druze	Papuan			593124	0.1900	0.1900	1.7826e-3	106.56045345131155
FST	Druze	Pathan			593124	2.0181e-2	2.0181e-2	3.4710e-4	58.140362856343295
FST	Druze	Pima			593124	0.1736	0.1736	1.7709e-3	98.01821974099956
FST	Druze	Russian			593124	2.1200e-2	2.1200e-2	3.5551e-4	59.632575103507065
FST	Druze	Sardinian			593124	1.7316e-2	1.7316e-2	3.0451e-4	56.866404799613605
FST	Druze	Sindhi_Pakistan			593124	2.4020e-2	2.4020e-2	4.6974e-4	51.13381071164233
FST	Druze	Yakut			593124	0.1002	0.1002	1.1285e-3	88.81670718241605
FST	Druze	Yoruba			593124	0.1411	0.1411	1.0465e-3	134.80712561304352
FST	French	Adygei			593124	9.7730e-3	9.7730e-3	3.1627e-4	30.9006924987833
FST	French	Balochi			593124	2.0164e-2	2.0164e-2	3.4109e-4	59.118044219432846
FST	French	Basque			593124	7.0705e-3	7.0705e-3	2.5128e-4	28.137466102844463
FST	French	BedouinA			593124	1.4619e-2	1.4619e-2	2.4446e-4	59.800999879082475
FST	French	BedouinB			593124	3.5040e-2	3.5040e-2	5.6156e-4	62.397395793959625
FST	French	Biaka			593124	0.1757	0.1757	1.2770e-3	137.55409676863485
FST	French	Brahui			593124	2.2173e-2	2.2173e-2	3.6493e-4	60.75860401270578
